id,Name,Description,Level,BeginnerTime,BeginnerCount,TargetMuscle,AnimationFile,ClipSource,ImageFile,MET,Part,Type,BasicCount,IntermediateCount,AdvancedCount,UpperCalibration,TargetDevice,LowerCalibration,exCategory,Multiply,Side,
51,내로우 푸쉬업,손바닥을 모아서 푸쉬업을 진행하는 운동으로 안쪽 가슴을 발달 시키기에 좋은 맨몸운동,힘듬,30,10,"[""상완 삼두근"",""대흉근"",""전방 삼각근""]",,https://www.youtube.com/watch?v=omRMyAyXnvE,,7.5,"[""팔""]",상체,10,20,35,2,"[1,2]",,1,1,0,
52,런지,"하체근육의 협응력을 기르는데 탁월하고, 엉덩이 근육을 키우는데 좋은 운동",힘듬,30,15,"[""대퇴사두근"",""대둔근""]",,https://youtu.be/WlOVnfmRLsg,,7.5,"[""허벅지""]",하체,15,30,45,,"[3,4]",0,1,1,0,
53,리버스 런지,뒤로 발을 뻗으면서 내려 앉는 운동. 내려 가면서 몸이 흔들리지 않게 코어에 힘을 유지해야함,보통,30,15,"[""대퇴사두근"",""대퇴이두근""]",,https://youtu.be/W75iFSaIyZ4,,6,"[""힙""""]",하체,15,30,45,,"[3,4]",0,1,1,0,
54,마운틴 클라이머,전신 유산소 운동으로 무릎을 가슴까지 끌어올리며 계속 달려주는 동작. 코어와 복근자극부터 효과적인 칼로리 소모까지 가능한 운동,힘듬,30,15,"[""삼각근"",""이두근"",""삼두근"",""완요골근"",""전완근""]",,https://youtu.be/4kxJTuESE5c,,7,"[""전신""]",둘다,15,25,40,,"[3,4]",0,1,1,0,
55,맨몸 스쿼트,허벅지와 코어 등 많은 부위의 근육을 활성화 시킬 수 있음.,보통,30,10,"[""대퇴사두근"",""대퇴이두근""]",,https://youtu.be/jBm2iqN3VGk,,6.3,"[""허벅지""]",하체,10,32,47,,"[3,4]",1,1,1,0,
56,맨손 쓰러스터,전신에 자극을 줄 수 있는 운동. 전신 근력 향상뿐만 아니라 칼로리 소모에도 매우 효과적인 운동,보통,30,8,"[""전방 삼각근"",""대퇴사두근""]",,https://youtu.be/-NrXLL8HosY,,6.3,"[""어깨""]",상체,8,32,47,0,"[1,2,3,4]",0,1,1,0,
57,무릎대고 푸쉬업,"기본적인 푸쉬업이 아직은 조금 버거울때, 무릎을 대고 푸쉬업을 하는 운동",보통,30,8,"[""'대흉근"",""상완 삼두근"",""전방 삼각근""]",,https://youtu.be/sYhYm9dpLxM,,6.3,"[""가슴""]",상체,8,35,55,2,"[1,2]",,1,1,0,
58,바이시클 크런치,무릎을 번갈아 팔꿈치에 찍으며 복근을 자극하는 운동,힘듬,30,14,"[""복직근"",""복사근"",""고관절""]",,https://youtu.be/UOIlcGA35Tg,,7.5,"[""코어""]",상체,14,40,60,,"[3,4]",0,1,1,0,
59,버피,칼로리를 소모시키기 위한 최고의 운동,힘듬,30,5,"[""대흉근"",""상완 삼두근"",""전방 삼각근""]",,https://youtu.be/qsThy7H9mjA,,7,"[""가슴""]",상체,5,12,20,,"[3,4]",0,1,1,0,
60,불가리안 스플릿 스쿼트(L),한다리를 올린 상태에서 런지 동작을 수행하는 운동. 한 다리에 집중하기 때문에 안정성과 균형감각 및 밸런스 향상에 유리함,힘듬,30,14,"[""대퇴사두근"",""대퇴이두근"",""대둔근""]",,https://youtu.be/GgEwr18jCvk,,7,"[""전신""]",둘다,14,32,48,,[3],0,1,1,1,
61,사이드 니업,옆구리 근육을 단련할 수 있는 운동.,보통,30,30,"[""복직근"",""대둔근"",""외복사근""]",,https://youtu.be/JCqZ2AyWmdY,,6.3,"[""코어""]",상체,30,60,90,,"[3,4]",1,1,1,0,
62,사이드 런지,전체적인 허벅지 근육과 협응력을 기를 수 있는 맨몸운동. 중둔근을 키우기에도 좋은 운동,보통,30,12,"[""대퇴사두근"",""대퇴이두근"",""비복근""]",,https://youtu.be/gaB3f-Ao8PI,,6.3,"[""허벅지""]",하체,12,27,40,,"[3,4]",1,1,1,0,
63,스탠딩 바이시클,무릎을 올려 복근을 자극하는 운동.,쉬움,30,20,"[""복직근"",""대둔근""]",,https://youtu.be/0_eOLAYQfy8,,5,"[""코어""]",상체,20,38,55,,"[3,4]",2,1,1,0,
64,스파이더맨 푸쉬업,가슴 근육뿐만 아니라 코어 근육까지 자극할 수 있는 운동.,힘듬,30,6,"[""복직근"",""외복사근""]",,https://youtu.be/2Zwu-A8HDJY,,7.5,"[""코어""]",상체,6,16,25,4,"[1,2,3,4]",1,1,1,0,
65,스플릿 스쿼트(L),"하체 근육을 강화하고 균형을 향상시키는 데 도움을 주며, 스포츠나 다양한 유형의 운동에 유용함",힘듬,30,18,"[""대퇴사두근"",""대둔근""]",,https://youtu.be/8ZSuRXLv3VM,,7.5,"[""허벅지""]",하체,18,40,56,,[3],1,1,1,1,
66,슬로우 버피,"일반적인 버피가 힘들때, 천천히 진행할 수 있는 운동",쉬움,30,4,"[""대흉근"",""상완 삼두근"",""전방 삼각근""]",,https://youtu.be/6PxNa3Q6D8c,,5,"[""가슴""]",상체,4,10,15,,"[3,4]",0,1,1,0,
67,시티드 니업,"의자, 바닥 등 어디에서도 할 수 있는 매우 간단한 복근 운동.",보통,30,19,"[""복직근""]",,https://youtu.be/tW-UVHZxclw,,6.3,"[""코어""]",상체,19,36,50,,"[3,4]",1,1,1,0,
68,와이드 스쿼트,일반 스쿼트보다 발 사이의 간격을 더 넓혀서 수행하는 스쿼트. 일반 스쿼트보다 복근과 허벅지 안쪽에 자극을 더 많이 느낄 수 있음,보통,30,10,"[""대둔근"",""내전근""]",,https://youtu.be/Kia-MbMkOfk,,6,"[""허벅지""]",하체,10,20,30,,"[3,4]",0,1,1,0,
69,와이드 푸쉬업,"푸쉬업을 시작하시는 분, 굽은 등이나 말린 어깨를 교정할 수 있는 운동",보통,30,8,"[""전방 삼각근"",""대흉근"",""상완 삼두근""]",,https://youtu.be/MF7GiFVqK3o,,6.3,"[""어깨""]",상체,8,16,32,2,"[1,2]",,1,1,0,
70,원 레그 힙 쓰러스트,엉덩이를 한 쪽씩 집중적으로 운동해서 자극을 주는 운동,보통,30,14,"[""대퇴사두근"",""대퇴이두근"",""대둔근""]",,https://youtu.be/9VbYp8ccNUM,,5,"[""허벅지""]",하체,14,30,42,,"[3,4]",0,1,1,0,
71,점프 스쿼트,스쿼트와 유산소운동의 효과를 함께 얻을 수 있는 운동. 기초체력증진과 체중감량에 탁월한 운동,힘듬,30,11,"[""대퇴사두근"",""대둔근"",""대퇴이두근"",""비복근""]",,https://youtu.be/gZSX6YYMDXs,,7,"[""코어""]",상체,11,25,38,,,0,1,1,0,
72,데드 버그 자세,"코어 근육 강화, 복부 군살 제가, 전신 스트레칭, 집중력 향상이 되는 운동",보통,30,14,"[""척추기립근"",""삼각근""]",,https://youtu.be/Vx1gmSZUUc4,,6.5,"[""코어""]",상체,14,30,45,,"[3,4]",3,1,1,0,
73,크로스 런지,엉덩이 근육을 집중적으로 자극시킬 수 있는 운동,힘듬,30,12,"[""대퇴사두근"",""비복근"",""대둔근""]",,https://youtu.be/irygFmarGLI,,7.5,"[""허벅지""]",하체,12,29,43,,"[3,4]",0,1,1,0,
74,V홀드,"V홀드는 주로 복근을 강화하는 운동입니다. 이 운동은 복부의 핵심 근육에 집중하여 근력을 증진시키고, 복부의 안정성을 향상시키며, 전반적인 핵심 근육의 균형을 개선하는 데 도움이 됩니다. 또한, V홀드는 균형 감각과 자세를 개선하는 데에도 효과적입니다.",힘듬,30,0,"[""복직근"",""복횡근""]",,https://youtu.be/WHClOgx-O1E,,8,"[""코어""]",상체,0,0,0,,"[3,4]",4,2,1,0,
75,YTW,"YTW 운동은 어깨 근육과 상부 등 근육을 강화하고, 자세를 개선하는 데 도움이 되는 운동입니다. 이 운동은 몸을 Y, T, W 형태로 움직여서 수행되며, 각각의 동작이 어깨와 등 근육에 다양한 자극을 제공합니다.",쉬움,30,0,"[""승모근"",""후방 삼각근""]",,https://youtu.be/qqdxK-WP2Xw,,5,,상체,0,0,0,,,,3,1,0,
76,게 걸음,"게 걸음 운동은 엉덩이와 허벅지의 외측 근육을 주로 강화하는 운동입니다. 이 운동은 중둔근을 키우고, 허벅지 근육을 발달시키며, 전반적인 자세 개선에도 도움을 줍니다. 또한, 게 걸음 운동은 하체의 균형과 안정성을 향상시키는 효과가 있어, 보행과 체력에 긍정적인 영향을 미칩니다.",보통,30,0,"[""대퇴 사두근"",""중둔근""]",,https://youtu.be/oiOVBuUSjr4,,6,"[""허벅지""]",하체,0,0,0,,,,3,1,0,
77,고관절 스트레칭(L),"고관절의 유연성을 증진시키고, 주변 근육의 긴장을 완화하는 운동입니다. 이 운동은 하체 순환과 균형을 개선하고, 일상 활동과 운동 성능을 향상시키는 데 도움이 됩니다.",,30,0,"[""고관절굴근"",""대둔근"",""중둔근""]",,https://youtu.be/QbTkjNIgEEs,,3,,하체,0,0,0,,,,3,1,1,
78,고양이 자세,"등과 척추의 유연성을 증진시키는 데 효과적인 운동입니다. 이 자세는 척추를 유연하게 만들고, 등 근육의 긴장을 풀어주며, 전반적인 체중 조절에 도움을 줍니다.",,30,0,"[""척추기립근"",""광배근""]",,https://youtu.be/M2fUIN1v_us,,3,,상체,0,0,0,,,,3,1,0,
79,맨몸 데드리프트,"하체와 하부 등 근육을 강화하는 운동입니다. 이 운동은 햄스트링, 엉덩이 근육, 그리고 하부 등 근육에 집중적인 자극을 제공하며, 균형 감각과 자세를 개선하는 데에도 도움이 됩니다. 맨몸 데드리프트는 특히 하체의 힘과 안정성을 증진시키는 데 효과적인 운동입니다.",쉬움,30,12,"[""대퇴이두근"",""대둔근"",""척추기립근"",""광배근""]",,https://youtu.be/_ipUryI9mMA,,5.5,"[""전신""]",둘다,12,24,48,,"[3,4]",3,1,1,0,
80,목 스트레칭,"목 근육의 긴장을 완화하고 유연성을 증진하는 데 도움을 주는 운동입니다. 이 스트레칭은 목과 어깨 주변의 근육을 이완시켜, 통증 완화와 자세 개선에 효과적입니다. 정기적인 목 스트레칭은 장시간 컴퓨터 작업이나 스마트폰 사용으로 인한 목의 뻣뻣함과 피로를 줄이는 데 유용합니다.",,30,0,"[""상부 승모근""]",,https://youtu.be/MsQ8el_jPHY,,3,,상체,0,0,0,,,,3,1,0,
81,발 뒤꿈치 터치,"측면 근육, 특히 복사근을 강화하는 운동입니다. 이 운동은 누워서 양쪽 발 뒤꿈치를 번갈아 닿으며 수행되어, 복부 측면의 근육을 활성화하고 강화하는 데 도움이 됩니다. 발 뒤꿈치 터치는 특히 복부의 탄력성과 근력을 향상시키는 데 효과적인 운동입니다.",보통,30,16,"[""복직근"",""외복사근""]",,https://youtu.be/Ln9_FaH0ljs,,6,"[""코어""]",상체,16,32,64,,,,3,1,0,
82,브릿지,"엉덩이와 하부 등 근육을 강화하는데 도움을 주는 운동입니다. 이 운동은 엉덩이를 들어올려서 수행되며, 특히 엉덩이 근육의 탄력을 증진시키고, 하부 척추를 안정화시키는 데 효과적입니다. 브릿지는 또한 하체 근력과 체력을 개선하며, 자세 교정에도 도움이 됩니다.",쉬움,30,0,"[""대둔근"",""고관절굴근"",""비복근""]",,https://www.youtube.com/watch?v=CTACbUBPRDI,,5,"[""힙""]",하체,0,0,0,,,,3,1,0,
83,사이드 레그 레이즈(L),"허벅지의 외측과 엉덩이 근육을 강화하는 운동입니다. 이 운동은 옆으로 누워 한쪽 다리를 올리고 내리며 수행되어, 특히 허벅지의 외측 근육과 엉덩이의 중둔근을 타겟으로 합니다. 사이드 레그 레이즈는 하체의 균형과 근력을 개선하는 데 효과적이며, 하체의 라인을 가꾸는 데에도 도움이 됩니다.",,30,14,"[""대퇴사두근"",""대둔근""]",,https://www.youtube.com/watch?v=CTACbUBPRDI,,5.5,"[""힙""]",하체,14,28,56,,,,3,1,1,
84,사이드 플랭크(L),"코어 근육, 특히 복부의 측면 근육과 어깨 근육을 강화하는 운동입니다. 이 자세는 몸을 옆으로 기울여 한쪽 팔로 몸을 지탱하면서 수행되며, 코어 근육의 안정성과 균형을 향상시키는 데 도움이 됩니다. 사이드 플랭크는 복사근을 포함한 복부 측면 근육과 어깨 근육을 강화하며, 전반적인 자세 개선에도 기여합니다.",힘듬,30,0,"[""복사근"",""복직근""]",,https://youtu.be/GiGGCFe5zOY,,7,"[""코어""]",상체,0,0,0,3,[1],,2,1,1,
85,서서 다리 대각선으로 들기(L),"엉덩이 근육을 강화하는 데에 초점을 맞춘 운동입니다. 이 운동은 서 있는 자세에서 한쪽 다리를 대각선 방향으로 들어 올리며 수행되어, 엉덩이 근육, 특히 중둔근과 소둔근에 강한 자극을 줍니다. 이 운동은 엉덩이 근육의 탄력과 근력을 증진시키고, 하체의 균형과 안정성을 향상시키는 데 효과적입니다.",쉬움,30,16,"[""대퇴사두근"",""대퇴이두근"",""비복근""]",,https://youtu.be/1L_GdZ_gplo,,5,"[""허벅지""]",하체,16,32,64,,,,3,1,1,
86,서서 다리 뒤로 들기(L),"엉덩이 근육과 햄스트링을 강화하는 운동입니다. 이 운동은 서 있는 자세에서 한쪽 다리를 뒤로 들어 올리며 수행되며, 엉덩이 근육에 집중적인 자극을 제공합니다. 또한, 이 운동은 하체의 균형과 안정성을 향상시키고, 하체 근육의 탄력성을 증진시키는 데에도 도움이 됩니다.",쉬움,30,16,"[""대둔근"",""척추기립근""]",,https://youtu.be/jEcZhfIhWTA,,5,"[""힙""]",하체,16,32,64,,,,3,1,1,
87,서서 다리 옆으로 들기(L),"엉덩이의 외측 근육과 허벅지의 측면 근육을 강화하는 운동입니다. 이 운동은 서 있는 자세에서 한쪽 다리를 옆으로 들어 올리며 수행되며, 특히 엉덩이의 중둔근과 허벅지의 외측 근육에 집중적인 자극을 제공합니다. 서서 다리 옆으로 들기는 하체 근력과 균형을 향상시키며, 하체의 근육 발달과 탄력을 증진시키는 데 효과적인 운동입니다.",쉬움,30,16,"[""중둔근"",""대퇴근막장근"",""대둔근"",""내전근""]",,https://youtu.be/rpa_PAFI6Bo,,5,"[""힙""]",하체,16,32,64,,,,3,1,1,
88,서서 안쪽 스트레칭(L),"허벅지의 내측 근육, 즉 내전근을 스트레칭하고 유연성을 증진시키는 운동입니다. 이 스트레칭은 서 있는 자세에서 한쪽 다리를 옆으로 뻗어 내전근을 이완시키며 수행됩니다. 이 운동은 허벅지 안쪽 근육의 긴장을 완화하고, 유연성을 향상시키며, 하체의 균형과 전반적인 움직임의 범위를 개선하는 데 도움이 됩니다.",,30,0,"[""대퇴이두근"",""고관절굴근""]",,https://www.youtube.com/watch?v=CTACbUBPRDI,,3,,하체,0,0,0,,,,3,1,1,
89,손목 스트레칭,손목 주변 근육과 힘줄의 긴장을 완화하고 유연성을 증진시키는 데 도움이 되는 운동입니다.,,30,0,"[""손목""]",,https://youtu.be/HxnNhMNR7eA,,3,,상체,0,0,0,,,,3,1,0,
90,슈퍼맨(L),"등 근육과 코어 근육을 강화하는 맨몸 운동입니다. 이 운동은 배를 대고 누운 자세에서 팔과 다리를 동시에 들어 올리며 수행됩니다. 슈퍼맨 운동은 특히 하부 등 근육을 강화하고, 척추 주변 근육의 안정성을 향상시키는 데 도움이 됩니다. 이 운동은 또한 전반적인 코어 근력을 강화하고, 자세 개선에도 기여할 수 있습니다.",쉬움,30,14,"[""척추 기립근""]",,https://www.youtube.com/watch?v=CTACbUBPRDI,,5,"[""등""]",상체,14,28,56,,,,3,1,1,
91,스쿼트 펄스(L),"전통적인 스쿼트 운동에 작은 펄스 동작을 추가한 변형으로, 허벅지와 엉덩이 근육을 집중적으로 강화하는 운동입니다. 이 운동은 스쿼트 자세를 유지하면서 하체를 약간 상하로 움직이며 펄스 동작을 수행합니다. 스쿼트 펄스는 특히 허벅지 전면과 엉덩이 근육에 지속적인 자극을 제공하여, 근육의 지구력을 향상시키고 탄력성을 증진시키는 데 효과적입니다.",보통,30,16,"[""대퇴사두근""]",,https://youtu.be/FOpIOjXLUxU,,6.3,"[""허벅지""]",하체,16,32,64,,[3],0,1,1,1,
92,어깨 스트레칭(L),"어깨 근육의 긴장을 완화하고 유연성을 증진시키는 운동입니다. 이 스트레칭은 어깨와 상부 등 근육을 이완시켜 통증과 뻣뻣함을 줄이며, 어깨 주변의 이동 범위를 향상시키는 데 도움이 됩니다. 정기적인 어깨 스트레칭은 자세를 개선하고, 어깨 관련 부상 예방에도 기여할 수 있습니다.",,30,0,"[""전방 삼각근"",""내측 삼각근"",""후방 삼각근""]",,https://youtu.be/3_1b0Gb2LIA,,3,"[""어깨""]",상체,0,0,0,,,,3,1,1,
93,오블리크 크런치(L),"크런치는 복부의 측면 근육, 즉 복사근을 강화하는 운동입니다. 이 운동은 복부의 회전 움직임을 포함하여, 특히 복부 측면의 근력을 증진시키고, 복근의 정의를 개선하는 데 효과적입니다. 오블리크 크런치는 코어 근육의 안정성을 향상시키며, 복부 전체의 근력 균형을 도모하는 데 도움이 됩니다.",보통,30,12,"[""복직근"",""외복사근"",""내복사근""]",,https://www.youtube.com/watch?v=CTACbUBPRDI,,6.3,"[""코어""]",상체,12,24,48,,,,3,1,1,
94,원 레그 플랭크(L),"표준 플랭크 운동에 한쪽 다리를 들어 올리는 동작을 추가하여 코어 근육을 강화하는 변형 운동입니다. 이 운동은 코어 근육뿐만 아니라, 엉덩이와 다리 근육에도 추가적인 자극을 제공합니다. 원 레그 플랭크는 특히 코어의 안정성과 균형을 향상시키며, 복부와 하체 근육의 조화로운 강화에 도움이 됩니다.",보통,30,14,"[""복직근"",""외복사근"",""내복사근"",""대퇴근"",""대흉근"",""삼각근""]",,https://youtu.be/rq-Rz56OfWI,,5,"[""코어""]",상체,14,28,56,3,[1],,2,1,1,
95,자벌레,"전신을 활성화시키고 코어 근육을 강화하는 운동입니다. 이 운동은 서 있는 자세에서 몸을 앞으로 굽혀 손을 바닥에 댄 후, 손을 앞으로 걷어 플랭크 자세를 취한 다음 다시 원래의 서 있는 자세로 돌아오는 과정을 반복합니다. 자벌레 운동은 코어 근육을 비롯하여 팔, 다리, 그리고 등 근육을 종합적으로 강화하며, 유연성과 균형 감각을 향상시키는 데에도 효과적입니다.",힘듬,30,8,"[""복직근"",""외복사근"",""내복사근""]",,https://youtu.be/ED6KrZ1-HKE,,7.5,"[""코어""]",상체,8,16,32,,,,3,1,0,
96,점핑잭,"전신을 활성화시키는 유산소 운동입니다. 이 운동은 팔과 다리를 동시에 움직이며 수행되어, 심장 박동수를 높이고 전신의 순환을 개선합니다. 점핑잭은 칼로리를 소모하고 체력을 증진시키는 데 효과적이며, 일상적인 운동 루틴에 활기를 더하는 데에도 유용합니다.",쉬움,30,18,"[""고관절굴근"",""삼각근""]",,https://www.youtube.com/watch?v=CTACbUBPRDI,,5,"[""전신""]",둘다,18,36,72,,,,3,1,0,
97,점핑잭 층간 소음없이,"전신을 활성화시키는 유산소 운동입니다. 이 운동은 팔과 다리를 동시에 움직이며 수행되어, 심장 박동수를 높이고 전신의 순환을 개선합니다. 점핑잭은 칼로리를 소모하고 체력을 증진시키는 데 효과적이며, 일상적인 운동 루틴에 활기를 더하는 데에도 유용합니다.",쉬움,30,16,"[""고관절굴근"",""삼각근""]",,https://www.youtube.com/watch?v=CTACbUBPRDI,,5,"[""전신""]",둘다,16,32,64,,,,3,1,0,
98,종아리 들기,"종아리 근육, 즉 비복근과 단복근을 강화하는 운동입니다. 이 운동은 서서 발뒤꿈치를 들어 올렸다 내리는 단순한 동작을 반복하여 수행되며, 종아리 근육의 힘과 탄력을 증진시키는 데 효과적입니다. 종아리 들기는 하체 순환을 개선하고, 발목의 안정성을 향상시키며, 균형 감각을 개선하는 데에도 도움이 됩니다.",,30,20,"[""비복근""]",,https://youtu.be/5rWRie6jLc8,,3.5,"[""전신""]",하체,20,40,60,,,,3,1,0,
99,줄넘기 없이 줄넘기,"실제 줄넘기를 사용하지 않고 줄넘기 동작을 흉내내는 운동입니다. 이 운동은 팔을 가볍게 돌리면서 발뒤꿈치를 번갈아 들어 올리는 동작을 포함합니다. 줄넘기 없이 줄넘기는 심박수를 높이고, 전신의 순환을 개선하는 유산소 운동으로, 실제 줄넘기 운동과 유사한 칼로리 소모와 체력 증진 효과를 제공합니다. 이 운동은 공간이 제한적이거나 줄넘기 사용이 어려운 환경에서도 쉽게 실시할 수 있습니다.",쉬움,30,25,"[""고관절굴근"",""삼각근"",""복직근""]",,https://www.youtube.com/watch?v=CTACbUBPRDI,,5,"[""전신""]",둘다,25,50,100,,,,3,1,0,
100,쿼드 스트레칭(L),"허벅지 전면의 근육, 즉 대퇴사두근(쿼드리셉스)을 이완시키고 유연성을 증진시키는 운동입니다. 이 스트레칭은 서 있는 자세에서 한쪽 발목을 잡고 엉덩이 쪽으로 당겨 수행되며, 허벅지 전면 근육의 긴장을 완화하고, 근육의 이동 범위를 향상시킵니다. 쿼드 스트레칭은 특히 장시간 앉아 있거나 강도 높은 하체 운동 후에 효과적으로 근육을 이완시키는 데 도움이 됩니다.",,30,0,"[""대퇴사두근"",""비복근""]",,https://youtu.be/Y9lKmebbWP0,,3,,하체,0,0,0,,,,3,1,1,
101,크런치,"복근을 강화하는 기본적인 운동으로, 주로 상부 복근에 집중합니다. 이 운동은 누운 자세에서 상체를 일으켜 복근에 긴장을 주며 수행됩니다. 크런치는 복부 근육의 탄력을 증진시키고, 복근의 정의를 개선하는 데 효과적이며, 코어 근력을 강화하는 데에도 도움이 됩니다.",보통,30,14,"[""복직근"",""복사근""]",,https://www.youtube.com/watch?v=CTACbUBPRDI,,6,"[""코어""]",상체,14,28,56,,,,3,1,0,
102,크로스 오버 토터치,"복부의 측면 근육과 햄스트링을 동시에 강화하는 운동입니다. 이 운동은 서 있는 자세에서 상체를 앞으로 구부리고, 반대쪽 손으로 반대쪽 발의 발가락을 터치하는 동작을 수행합니다. 크로스 오버 토터치는 복부 측면과 하체 후면 근육에 집중적인 스트레칭과 강화 효과를 제공하며, 유연성과 균형 감각을 향상시키는 데에도 도움이 됩니다.",힘듬,30,14,"[""복직근"",""외복사근""]",,https://www.youtube.com/watch?v=CTACbUBPRDI,,7.5,"[""코어""]",상체,14,28,56,,,,3,1,0,
103,사이드 킥백(L),"엉덩이와 허벅지의 외측 근육을 강화하는 운동입니다. 이 운동은 네 발기기 자세에서 한쪽 다리를 옆으로 들어 올리며 수행되며, 특히 엉덩이의 중둔근과 소둔근에 집중적인 자극을 제공합니다. 파이어 하이드란트는 엉덩이 근육의 탄력을 증진시키고, 하체의 균형과 안정성을 향상시키는 데 효과적인 운동입니다.",보통,30,14,"[""고관절굴근"",""중둔근"",""소둔근""]",,https://www.youtube.com/watch?v=CTACbUBPRDI,,6,"[""힙""]",하체,14,28,56,,,,3,1,1,
