Name,Description,Level,BeginnerTime,BeginnerCount,TargetMuscle,AnimationFile,ClipSource,ImageFile,MET,Part,Type,BasicCount,IntermediateCount,AdvancedCount,UpperCalibration,TargetDevice,LowerCalibration,exCategory,Multiply,Side
스쿼트 사이드 잽,테스트,보통,30,10,"[""대퇴사두근"",""대흉근"",""삼두근""]",,https://youtu.be/7YLCPyUXwX8,,4,"[""허벅지""]",하체,10,30,40,,"[3,4]",1,1,1,0
니 허그 크런치,누워서 한 쪽 무릎을 가슴 쪽으로 최대한 당기면서 상체를 살짝 앞으로 숙여 줍니다. 이 동작을 교대로 반복하면서 하체의 유연성과 코어를 향상 시킵니다.,보통,30,12,"[""외복사근"",""내복사근""]",,https://youtu.be/414dFUG6x-8,,4,"[""코어""]",상체,12,24,48,,"[3,4]",0,1,1,0
풀다운 니업(L),테스트,보통,30,18,"[""복직근"",""복횡근""]",,https://youtu.be/_8lsmLMySek,,4,"[""코어""]",둘다,18,36,60,,[3],0,1,1,1
사이드 터치 스쿼트,사이드 스텝으로 옆으로 이동하면서 매 스텝마다 스쿼트 자세를 취하고 두 손가락으로 바닥을 살짝 터치합니다. 하체의 근력과 유연성을 동시에 향상시킬 수 있습니다.,보통,30,20,"[""대둔근"",""대퇴사두근""]",,https://youtu.be/2FILaoNy1lY,,4.5,"[""힙""]",하체,20,40,60,,"[3,4]",0,1,1,0
스모 턴 스쿼트,"스모 스쿼트 자세에서 시작하여, 스쿼트를 하면서 180도 회전하고 다시 스쿼트를 합니다. 이 동작을 반복하면서 하체와 코어의 안정성을 강화합니다.",보통,30,20,"[""대둔근"",""내전근"",""대퇴사두근""]",,https://youtu.be/Ok3GFwQUIWI,,4.7,"[""힙""]",하체,20,40,60,,"[3,4]",2,1,1,0
발 들고 스쿼트,테스트,보통,30,18,"[""대퇴사두근"",""비복근"",""대퇴이두근""]",,https://youtu.be/YpPqAf8Nt_I,,5,"[""허벅지""]",하체,18,36,50,,"[3,4]",0,1,1,0
트라이셉스 킥백,테스트,쉬움,30,25,"[""삼두근""]",,https://youtu.be/y7wW78F8R0o,,3,"[""팔""]",상체,25,50,70,0,"[1,2]",,1,1,0
프런트 스텝 바이셉 컬,테스트,쉬움,30,25,"[""이두근"",""대퇴사두근"",""비복근""]",,https://youtu.be/SehQcgPtOxw,,3.5,"[""팔&하체""]",둘다,25,50,70,0,"[1,2]",,1,1,0
프레스 점핑잭,테스트,쉬움,30,25,"[""고관절굴근"",""삼각근""]",,https://youtu.be/ghn7UT6iybo,,2.5,"[""전신""]",둘다,25,50,70,0,"[1,2]",,1,1,0
무릎 푸쉬업 후 한팔 들기,테스트,쉬움,30,18,"[""대흉근"",""광배근"",""복직근"",""상완삼두근""]",,https://youtu.be/XtPHjLbcWMQ,,4.6,"[""상체""]",상체,18,36,50,1,"[1,2]",,1,2,0
몸통 비틀며 무릎 들기,테스트,쉬움,30,25,"[""복직근"",""외복사근"",""대퇴사두근""]",,https://youtu.be/YlMX1IdZuGc,,3,"[""허벅지&코어""]",둘다,25,50,70,,"[3,4]",0,1,1,0
사이드 크런치 스쿼트,테스트,보통,30,10,"[""대퇴사두근"",""외복사근"",""복직근""]",,https://youtu.be/maS6B-HTo9Y,,4.5,"[""허벅지&코어""]",둘다,10,20,30,,"[3,4]",1,1,3,0
니업 스쿼트,테스트,보통,30,10,"[""대퇴사두근"",""외복사근"",""복직근""]",,https://youtu.be/Wxe7DSyKzBI,,4,"[""허벅지&코어""]",둘다,10,20,30,,"[3,4]",1,1,3,0
"무릎,팔 들어올리기",테스트,쉬움,30,18,"[""복직근"",""대퇴사두근""]",,https://youtu.be/z9YjoihN-HQ,,4,"[""코어""]",상체,20,40,70,,"[3,4]",0,1,1,0
몸통 비틀며 걷기,테스트,쉬움,30,20,"[""외복사근"",""복직근"",""대퇴사두근""]",,https://youtu.be/BC2IT_IWLZE,,3.8,"[""코어""]",둘다,20,40,70,,"[3,4]",0,1,1,0
버트 킥 로우,테스트,쉬움,30,30,"[""대둔근"",""대퇴이두근"",""대퇴사두근""]",,https://www.youtube.com/watch?v=CTACbUBPRDI,,3.5,"[""힙&허벅지""]",하체,30,60,90,,"[3,4]",0,1,1,0
숄더 터치,테스트,쉬움,30,25,"[""대퇴사두근"",""이두박근""]",,https://youtu.be/pYM7e4XBKVo,,3.2,"[""허벅지&팔""]",둘다,25,50,85,1,"[1,2]",,1,1,0
"무릎, 다리 들어올리기",테스트,쉬움,30,25,"[""복직근"",""대퇴이두근"",""대퇴사두근""]",,https://youtu.be/eQejIl7-HAU,,3.5,"[""허벅지&코어""]",둘다,25,50,85,,"[3,4]",0,1,1,0
팔 뻗고 버트 킥,테스트,쉬움,30,25,"[""대퇴이두근"",""대둔근"",""전방 삼각근""]",,https://youtu.be/nCcXes78LcA,,3.8,"[""힙&허벅지&팔""]",둘다,25,50,85,,"[3,4]",0,1,1,0
무릎 끓고 플랭크,테스트,쉬움,30,15,"[""복직근"",""외복사근"",""상완 삼두근""]",,https://youtu.be/QdFATTXYcaE,,4,"[""코어""]",상체,15,25,40,0,"[1,2]",,1,1,0
굿모닝 스쿼트,테스트,보통,30,20,"[""대퇴사두근"",""대퇴이두근"",""대둔근""]",,https://youtu.be/JflBHYwtFNk,,4,"[""허벅지""]",하체,20,35,60,,"[3,4]",0,1,1,0
딥 런지(L),테스트,쉬움,30,25,"[""대퇴사두근"",""비복근"",""대퇴이두근""]",,https://youtu.be/zGkFm6tl6dY,,3.9,"[""허벅지""]",하체,25,50,70,,[3],4,1,1,1
내로우 스쿼트,테스트,보통,30,25,"[""대퇴사두근"",""대퇴이두근"",""전경골근""]",,https://youtu.be/j3ksFum2Rag,,4.2,"[""허벅지""]",하체,25,50,70,,"[3,4]",3,1,1,0
유 스쿼트,테스트,보통,30,20,"[""대퇴사두근"",""내전근"",""비복근""]",,https://youtu.be/RA-K4M4_rc4,,4,"[""허벅지""]",하체,20,45,65,,"[3,4]",3,1,1,0
팔다리 진자 운동,테스트,쉬움,30,30,"[""상완 삼두근"",""대퇴이두근"",""내전근""]",,https://youtu.be/APymTy4aDkE,,3.4,"[""허벅지&팔""]",둘다,30,55,70,3,"[1,2]",,1,1,0
서서 다리 올리기,테스트,보통,30,30,"[""복직근"",""외복사근"",""내복사근""]",,https://youtu.be/hQRZcSVTy-A,,4,"[""코어""]",상체,30,55,70,,"[3,4]",0,1,1,0
백킥 오버헤드 프레스,테스트,쉬움,30,28,"[""대퇴이두근"",""삼각근"",""상완 삼두근""]",,https://youtu.be/C7bziKo2Xlc,,4,"[""허벅지&팔""]",둘다,28,48,65,,"[3,4]",2,1,1,0
다리 올리며 펀치,테스트,쉬움,30,30,"[""대흉근"",""전방 삼각근"",""대퇴이두근""]",,https://youtu.be/4yFxBBXWyVQ,,3.8,"[""팔&허벅지""]",둘다,30,55,70,2,"[1,2,3,4]",2,1,1,0
버트 킥,테스트,쉬움,30,30,"[""대둔근"",""대퇴이두근""]",,https://www.youtube.com/watch?v=iNDDyli9FLc,,4,"[""힙&허벅지""]",하체,30,50,75,,"[3,4]",2,1,1,0
전신 크런치,테스트,보통,30,28,"[""복직근"",""내복사근"",""외복사근""]",,https://www.youtube.com/watch?v=CTACbUBPRDI,,4.8,"[""코어""]",상체,28,48,62,,"[3,4]",3,1,1,0
다운 도그 크런치(L),테스트,힘듬,30,25,"[""복직근"",""내복사근"",""외복사근""]",,https://youtu.be/iXrAESHnVoA,,6,"[""코어""]",상체,25,45,60,,[3],2,1,1,1
스쿼트 점핑잭,테스트,보통,30,25,"[""대퇴사두근"",""둔근"",""비복근""]",,https://youtu.be/SEr6yV1JumE,,7,"[""힙&허벅지""]",둘다,25,45,60,,"[3,4]",2,1,1,0
사이드 셔플 탭,테스트,보통,30,20,"[""소둔근"",""대둔근"",""대퇴사두근"",""외측광근""]",,https://youtu.be/53bsEKf5wHY,,6,"[""힙&허벅지""]",하체,20,40,60,,"[3,4]",3,1,1,0
해머 슬램,테스트,보통,30,20,"[""대퇴사두근"",""대둔근""]",,https://youtu.be/9ILtGecJh3s,,5,"[""힙&허벅지""]",하체,20,40,60,,"[3,4]",0,1,1,0
스쿼트 스텝 백,테스트,힘듬,30,20,"[""대둔근"",""대퇴사두근"",""대퇴이두근""]",,https://youtu.be/UAnWK2I4dz4,,5,"[""힙&허벅지""]",하체,20,40,60,,"[3,4]",1,1,2,0
스프린터 점프,테스트,힘듬,30,26,"[""대퇴사두근"",""대퇴이두근"",""대둔근""]",,https://www.youtube.com/watch?v=_me95mL07cI,,6,"[""힙&허벅지""]",하체,26,42,52,,"[3,4]",1,1,1,0
사이드 런지 점프,테스트,힘듬,30,25,"[""중둔근"",""대퇴사두근"",""대퇴이두근""]",,https://youtu.be/6ozAIo2yR2Q,,7.5,"[""힙&허벅지""]",하체,25,45,65,,"[1,2]",4,1,1,0
플랭크 베어 니 터치,테스트,보통,30,14,"[""복직근"",""외복사근"",""삼각근""]",,https://youtu.be/tDQllKXDYM8,,8,"[""코어""]",상체,14,28,56,,"[3,4]",4,1,1,0
엎드려 상체 들기,테스트,보통,30,25,"[""광배근"",""척추기립근""]",,https://youtu.be/JxNuqyJvNUc,,7,"[""등""]",상체,25,50,65,3,"[1,2]",,1,1,0
사이드 플랭크 크런치(L),테스트,보통,30,25,"[""복직근"",""외복사근""]",,https://youtu.be/_UE7wvnyfXo,,8,"[""코어""]",상체,25,50,65,,[3],2,1,1,1
바이시클 크런치 2,테스트,보통,30,30,"[""복직근"",""외복사근"",""내복사근""]",,https://youtu.be/EbwmFopkzDU,,7.5,"[""코어""]",상체,30,50,70,,"[3,4]",5,1,1,0
팝업 스쿼트,테스트,보통,30,28,"[""대퇴사두근"",""대둔근"",""대퇴이두근"",""비복근""]",,https://youtu.be/nhwp_WwpuLU,,6.7,"[""허벅지""]",하체,28,50,70,,"[3,4]",1,1,1,0
스탭 백 니 쓰러스트(L),테스트,힘듬,30,20,"[""대퇴사두근"",""대퇴이두근""]",,https://youtu.be/uwpRgJZ7VSA,,6,"[""허벅지""]",하체,20,40,60,,[3],1,1,1,1
숄더 탭 푸쉬업,테스트,힘듬,30,10,"[""대흉근"",""삼각근"",""복직근""]",,https://youtu.be/fudniXnIZ3c,,6.5,"[""가슴""]",상체,10,20,30,2,"[1,2]",,1,3,0
푸쉬업 푸쉬백,테스트,힘듬,30,10,"[""대흉근"",""외복사근"",""삼각근""]",,https://youtu.be/wf5vkdwRWac,,7.8,"[""가슴&코어""]",상체,10,20,30,1,"[1,2]",,1,1,0
오블리크 크런치 스쿼트,테스트,보통,30,10,"[""대퇴사두근"",""대둔근"",""복직근""]",,https://youtu.be/GZHI1PqmaSk,,6,"[""허벅지&코어""]",둘다,10,20,30,,"[3,4]",1,1,3,0
바이셉 컬,맨몸 바이셉컬은 체육관이나 운동 기구 없이도 언제 어디서나 할 수 있는 효과적인 팔 근육 강화 운동입니다. 이 운동은 특별한 도구 없이도 팔뚝의 이두근을 타겟으로 하여 근육을 강화하고 팔의 라인을 예쁘게 만드는 데 도움을 줍니다.,보통,30,12,"[""이두근""]",,https://youtu.be/dlfqEcTOwiM,,4,"[""팔""]",상체,12,24,48,2,"[1,2]",,1,1,0
트라이셉스 익스텐션,"몸 트라이셉스 익스텐션은 특별한 장비 없이도 삼두근을 강화할 수 있는 운동입니다. 이 운동은 팔 뒤쪽에 위치한 삼두근에 초점을 맞춰, 근력을 향상시키고 팔의 탄력을 개선하는 데 도움을 줍니다.",보통,30,12,"[""삼두근""]",,https://youtu.be/8YgWPOVWHlM,,4,"[""팔""]",상체,12,24,48,2,"[1,2]",,1,1,0
숄더 프레스,"맨몸 숄더프레스는 어떠한 장비도 필요로 하지 않으면서도 어깨 근육을 강화하고 발달시키는 데 도움이 되는 효과적인 운동입니다. 이 운동은 어깨, 상부 등, 그리고 팔의 힘을 증가시키는 데 기여합니다. 특히 어깨 주변의 안정성과 근력을 높이는 데 유용하며, 전반적인 상체의 균형과 힘을 개선할 수 있습니다.",보통,30,12,"[""삼각근""]",,https://youtu.be/1bKSAQqCvqk,,4,"[""어깨""]",상체,12,24,48,3,"[1,2]",,1,1,0
불가리안 스플릿 스쿼트(R),한다리를 올린 상태에서 런지 동작을 수행하는 운동. 한 다리에 집중하기 때문에 안정성과 균형감각 및 밸런스 향상에 유리함,힘듬,30,14,"[""대퇴사두근"",""대퇴이두근"",""대둔근""]",,https://youtu.be/GgEwr18jCvk,,7,"[""전신""]",둘다,14,32,48,,[4],0,1,1,1
스플릿 스쿼트(R),"하체 근육을 강화하고 균형을 향상시키는 데 도움을 주며, 스포츠나 다양한 유형의 운동에 유용함",힘듬,30,18,"[""대퇴사두근"",""대둔근""]",,https://youtu.be/8ZSuRXLv3VM,,7.5,"[""허벅지""]",하체,18,40,56,,[4],1,1,1,1
고관절 스트레칭(R),"고관절의 유연성을 증진시키고, 주변 근육의 긴장을 완화하는 운동입니다. 이 운동은 하체 순환과 균형을 개선하고, 일상 활동과 운동 성능을 향상시키는 데 도움이 됩니다.",,30,0,"[""고관절굴근"",""대둔근"",""중둔근""]",,https://youtu.be/QbTkjNIgEEs,,3,,하체,0,0,0,,,,3,1,1
사이드 레그 레이즈(R),"허벅지의 외측과 엉덩이 근육을 강화하는 운동입니다. 이 운동은 옆으로 누워 한쪽 다리를 올리고 내리며 수행되어, 특히 허벅지의 외측 근육과 엉덩이의 중둔근을 타겟으로 합니다. 사이드 레그 레이즈는 하체의 균형과 근력을 개선하는 데 효과적이며, 하체의 라인을 가꾸는 데에도 도움이 됩니다.",,30,14,"[""대퇴사두근"",""대둔근""]",,https://www.youtube.com/watch?v=CTACbUBPRDI,,5.5,"[""힙""]",하체,14,28,56,,,,3,1,1
사이드 플랭크(R),"코어 근육, 특히 복부의 측면 근육과 어깨 근육을 강화하는 운동입니다. 이 자세는 몸을 옆으로 기울여 한쪽 팔로 몸을 지탱하면서 수행되며, 코어 근육의 안정성과 균형을 향상시키는 데 도움이 됩니다. 사이드 플랭크는 복사근을 포함한 복부 측면 근육과 어깨 근육을 강화하며, 전반적인 자세 개선에도 기여합니다.",힘듬,30,0,"[""복사근"",""복직근""]",,https://youtu.be/GiGGCFe5zOY,,7,"[""코어""]",상체,0,0,0,3,[2],,2,1,1
